DOI,Citation_context,Source,file ID,Year,Journal
10.1039/c6ra11386a,,Scopus citing DOI,43.pdf,2016,RSC Advances
10.1039/c6ra11660d,,Scopus citing DOI,157.pdf,2016,RSC Advances
10.1039/c6ra14233h,,Scopus citing DOI,110.pdf,2016,RSC Advances
10.1039/c6ra25148j,,Scopus citing DOI,13.pdf,2017,RSC Advances
10.1039/c6ra26048a,"“…4,5 However, CDs show signicant advantages due to their water dispensability, chemical inertness, good photostability, low cytotoxicity, and excellent biocompatibility compared with organic dyes and other semiconductor nanodots with heavy metal elements. The above-mentioned capabilities of CDs endow them a wide range of technology applications in gene/ drug delivery, 6,7 bio-imaging, 8 photocatalysis, 9 bio-sensing, 10 optoelectronic devices, 11 energy conversion/storage devices 12 and other bio-applications. 13 Up to now, the ways methods of synthesizing CDs are clas-sied into two groups, including the top-down and bottom-up methods.…”",Scite,,2017,RSC Advances
10.1039/c7ra03493h,,Scopus citing DOI,14.pdf,2017,RSC Advances
10.1039/c7ra11383h,,Scopus citing DOI,15.pdf,2018,RSC Advances
10.1039/c8ra09729a,"“…Fluorescent carbon dots (CDs) have recently received considerable attention as important nanomaterials due to their unique properties, namely, higher water solubility, surface modication ability, lower toxicity, and excellent biocompatibility and photostability [1][2][3][4] when compared with traditional semiconductor quantum dots (QDs) and organic dyes. Hence, CDs have a wide variety of promising applications in bioimaging, [5][6][7] photocatalysis, 8,9 optoelectronic devices, 10,11 drug delivery, 12,13 and chemical sensor and biosensor technologies. 14,15 However, the photoluminescence (PL) mechanism of CDs has yet to be established, which has hindered the development and use of CDs as novel materials in applications related to various biological systems.…”",Scite,,2019,RSC Advances
10.1039/c9ra05689k,,Scopus citing DOI,17.pdf,2019,RSC Advances
10.1039/d0ra02276d,,Scopus citing DOI,18.pdf,2020,RSC Advances
10.1039/d2ra00039c,"“… 20  This kind of fluorescent sensors is usually composed of dual-emitting fluorophores, which are used as reference units or response parts.  21  To solve the problem of weak fluorescent signals, new materials such as nanocomposites can be introduced to the sensors.…”",Scite,,2022,RSC Advances
10.1038/srep01473,"“…FCNs have been demonstrated to be potential optical detection probes8, bioimaging probes3, light emitting diode materials7 and efficient visible light-active photocatalysts6. The potential of FCNs in biomedical applications is enormous because the major component is the nontoxic element carbon.…”",Scite,,2013,Scientific Reports
10.1038/srep01473,"“…Fluorescent carbon nanoparticles (FCN) with tunable emission are considered to be next generation green nanomaterials12345678 and are promising alternatives to fluorescent semiconductor nanocrystals, which are composed of toxic heavy metals such as cadmium910. FCNs have been demonstrated to be potential optical detection probes8, bioimaging probes3, light emitting diode materials7 and efficient visible light-active photocatalysts6.…”",Scite,,2013,Scientific Reports
10.1038/srep02933,"“…We have also developed a ratiometric strategy for intracellular sensing and imaging of Cu 2+ , with high sensitivity and accuracy1819. However, most of these probes have been evaluated using one-photon microscopy and require relatively short excitation wavelengths, limiting their use in deep-tissue imaging because of the shallow penetration depth (<80 μm).…”",Scite,,2013,Scientific Reports
10.1038/srep02933,"“…Up to now, a few efficient fluorescent sensors for Cu 2+ -selective detection have been reported1314151617181920. We have also developed a ratiometric strategy for intracellular sensing and imaging of Cu 2+ , with high sensitivity and accuracy1819.…”",Scite,,2013,Scientific Reports
10.1038/srep03564,"“…Under a wide range of excitation wavelengths used, the Trp-C-dots and Asp-C-dots just emitted blue light around 450 nm and yellow light around 560 nm, respectively, indicating that the emission of these two kinds of C-dots did not depend on the excitation wavelength. This was different from that usually observed excitation-dependent emission of C-dots prepared by other methods91011121314. This phenomenon should be due to the Trp-C-dots and Asp-C-dots with narrow size distribution and uniform chemical features on their surfaces.…”",Scite,,2014,Scientific Reports
10.1038/srep03564,"“…As a new comer in CNMs family, carbon dots (C-dots) which comprise discrete quasispherical nanoparticles with sizes below 10 nm8, possess even more intriguing properties compared with other CNMs. Till now, a sheer variety of synthetic routes toward C-dots are available91011, and have made C-dot emitters as potential alternatives to the aforementioned PL CNMs in various applications121314. Unfortunately, PL quantum yield (QY) of the previously reported C-dots is usually low (<15%)891011 with only a few exceptions that require laborious chromatographic further purification15 or surface passivation16.…”",Scite,,2014,Scientific Reports
10.1038/srep36794,"“…Importantly, both CdTe QDs and fluorescein can be excited at 365 nm (Figure S1B), which paves the way of using a handheld UV lamp for convenient visual detection. The variation of fluorescent color between red and green is advantageous since both red and green are among the most sensitive colors to human eyes24252633.…”",Scite,,2016,Scientific Reports
10.1038/srep36794,"“…Particularly, ratiometric sensing with “traffic light”-type response, i.e., encoding the signal with one color as the signal code and another as the reference, is a typical application of RGB for visual analysis2223. In this manner, the facile tunability of QD fluorescence holds great opportunity for RGB-based visual analysis24252627.…”",Scite,,2016,Scientific Reports
10.1038/s41598-017-06356-z,"“…3. In the presence of Cu 2+ , the as-prepared N-CDs with strong fluorescence (curve a) were efficiently quenched (curve b), suggesting that an effective electron or energy transfer process have happened between Cu 2+ and N-CDs 49, 50 . This transfer process was mainly caused by the chelation of Cu 2+ with N-CDs, which could be ascribed to the quite high thermodynamics affinity of Cu 2+ for typical N,O-chelate ligands on the surface of the N-CDs and rapid metal-to-ligand binding kinetics 51, 52 .…”",Scite,,2017,Scientific Reports
10.1038/s41598-022-23055-6,"“…The other is to introduce CQDs as response signals that are sensitive to analyte and respond to the analyte under optimal conditions  7  ,  9  ,  10  . In many literatures based on CQDs ratiometric fluorescent probes, the CQDs were used as either analyte-response  11  ,  12  or reference unit  13  ,  14  . Typically, these CQDs-based ratiometric fluorescent probes have been extended with a series of nanohybrid of CQDs with other organic dyes such as Rhodamine  15  , metal organic framework (MOF)  16  , nanoclusters (AuNCs and CuNCs)  17  ,  18  and various QDs (carbon-based quantum dots, semiconductor quantum dots CdTe  19  and CdSe  20  ) for different analytes.…”",Scite,,2022,Scientific Reports
10.1039/c8sm01155a,,Scopus citing DOI,,2018,Soft Matter
10.1039/c3an02086j,"“…46 Preparation of C-Dot C-Dot was synthesized according to the previously reported electrochemical method. 6,39,40,47 Briey, 0.3 g NaOH was dissolved in 100 mL ethanol/H 2 O (99.5 : 0.5, v : v). By using graphite rods (diameter of 0.5 cm) as both anode and cathode, C-Dot was obtained at a current intensity of 40 mA cm À2 for 12 h. The raw C-Dot solution was treated with a suitable amount of MgSO 4 (5-7 wt%) and stirred for 20 min.…”",Scite,,2014,The Analyst
10.1039/c3an02086j,"“…Herein, we develop a TPF ""turn-on"" uorescent sensor for H 2 S with high selectivity and sensitivity, in which C-Dot was employed as a TPF uorophore and AE-TPEA-Cu 2+ complex (AE-TPEA ¼ N-(2-aminoethyl)-N,N,N 0 -tris(pyridin-2-ylmethyl) ethane-1,2-diamine) was designed as a specic receptor for H 2 S. In our previous work, AE-TPEA was used as a recognition element for Cu 2+ and AE-TPEA-Cu 2+ showed high stability in the presence of biological metal ions and amino acids. 39,40 As illustrated in Fig. 1, the uorescence of C-Dot conjugated with AE-TPEA (C-Dot-TPEA) was quenched upon the addition of Cu 2+ .…”",Scite,,2014,The Analyst
10.1039/c3an02086j,"“…The C-Dot was synthesized according to the previously reported electrochemical method. 6,39,40,47 A typical transmission electron microscopy (TEM) image (Fig. 2A) shows that the as-synthesized C-Dot is $5 nm in size.…”",Scite,,2014,The Analyst
10.1039/c6an00981f,"“…The bands at 1100 cm −1 and 797 cm −1 correspond to the stretching vibrations of the silica (Si-O-Si) network and the band at 1653 cm −1 is attributed to silica lattice vibrations and bending of O-H. 40 Then, by the hydrolysis and polymerization of APTES, the surface of the RB-FSNPs formed another thin silica shell with the functionalized amino groups. 33 The resulting nanoparticles were about 60 nm in diameter as characterized by SEM (Fig. 2B).…”",Scite,,2016,The Analyst
10.1039/c6an00981f,"“…As the starting point of our study, rhodamine B-doped fluorescent silica nanoparticles (RB-FSNPs) were synthesized by a modified reverse microemulsion method. 33 A typical SEM image shows that the as-prepared RB-FSNPs are monodispersed with an average diameter of around 40 nm (Fig. 2A).…”",Scite,,2016,The Analyst
10.1039/c6an00981f,"“…2C. 33 Then, to fabricate dual-emission fluorescent silica nanoprobe for detecting pH, a pH-sensitive dye was conjugated with the above amine-functionalized RB-FSNPs. 33 The resulting nanoparticles were about 60 nm in diameter as characterized by SEM (Fig.…”",Scite,,2016,The Analyst
10.1039/c6an00981f,“…33 A typical SEM image shows that the as-prepared RB-FSNPs are monodispersed with an average diameter of around 40 nm ( Fig. 33 A typical SEM image shows that the as-prepared RB-FSNPs are monodispersed with an average diameter of around 40 nm ( Fig.…”,Scite,,2016,The Analyst
10.1039/c6an00981f,"“…Meanwhile, the relatively large stokes shift (Fig. 33 The resulting nanoparticles were about 60 nm in diameter as characterized by SEM (Fig. The infrared (IR) spectrum of RB-FSNPs was given in Fig.…”",Scite,,2016,The Analyst
10.1039/c6an00981f,"“…The bands at around 3207 cm −1 and 3460 cm −1 are ascribed to the stretching vibration of the N-H group and the band at around 1635 cm −1 corresponds to the bending vibration of N-H groups. 33 Then, to fabricate the dual-emission fluorescent silica nanoprobe for detecting pH, a pH-sensitive dye was conjugated with the abovementioned amine-functionalized RB-FSNPs. For this aim, FITC, containing an isothiocyanato group, was selected and coupled with the nanoparticles with amino groups.…”",Scite,,2016,The Analyst
10.1039/c6an00981f,"“…Among them, fluorescent sensors based on pH-dependent changes in fluorescence intensity have paved an elegant way to detect H + concentration due to high selectivity and sensitivity, in which fluorescein and fluorescein isothiocyanate (FITC) were widely employed. [33][34][35][36][37][38][39] Besides, the sol-gel silica provides easily functionalizable outer surface. [21][22][23][24][25] Although ratiometric fluorescence technique can circumvent the problems associated with first-generation intensity probes, the development of ratiometric fluorescence methods for intracellular measurement of H + ions is limited by the design and synthesis of dual-emission organic fluorophores which are specific and sensitive to H + ions.…”",Scite,,2016,The Analyst
10.1039/c6an00981f,"“…In this study, through a facile reverse microemulsion technique, 33 rhodamine B (RB) was first embedded in a silica core of ∼40 nm diameter to get Rhodamine B-doped fluorescent silica nanoparticles (RB-FSNPs). Then, rather than sequestering it within the silica particle, 38 FITC was grafted onto the outer surface of the silica nanosphere utilizing the amino groups-coated pure silica shell.…”",Scite,,2016,The Analyst
10.1039/c6an00981f,"“…The fluorescent silica nanoparticles are superior in this regard, because not only can they integrate multiple dye molecules with ease to provide ratiometric nanoparticle sensors, but also they can afford the dyes protection against quenching or bleaching. [33][34][35][36][37][38][39] Moreover, the sol-gel silica provides an easily functionalizable outer surface. However, no study about grafting FITC onto a silica nanosphere surface to detect pH has been reported to date.…”",Scite,,2016,The Analyst
10.1039/c5an00957j,"“…Traditionally, fast electron transfer resulting in fluorescence quenching, or ""turn-off"", was used to detect Cu 2+ . [10][11][12][13][14][15][16][17][18][19][20][21] However, over the last decade fluorescence ""turn-on"" has emerged as a superior technique for sensitive, selective, and accurate detection of Cu 2+ in solution. [22][23][24][25][26][27][28][29][30][31][32][33][34][35][36] Unfortunately, most of the reported Cu 2+ specific artificial molecular probes behave irreversibly, and with a rela-tively sluggish response affecting practical detection of subcellular Cu 2+ .…”",Scite,,2015,The Analyst
10.1039/c5an01378j,"“…33 The CNPs obtained using these methods offer great possibilities for their exploration in a multitude of exciting areas, such as fluorescent sensors 29 and bioimaging applications. 34 Gold nanoclusters (Au NCs), which comprise a few to about one hundred Au atoms, have become a growing area of scientific interest. They exhibit ultra-small size in comparison to the typical diameter of gold nanoparticles (Au NPs).…”",Scite,,2015,The Analyst
10.1039/c5an01487e,"“…8a). 90 The obtained dual emission hybrid probes were used to develop a ratiometric PL sensor of Cu 2+ . Also, they have been used in real-time imaging and biosensing of cellular Cu 2+ (Fig.…”",Scite,,2015,The Analyst
10.1039/c6an00465b,"“…[7][8][9][10] Carbon nanoparticles and carbon dots have recently drawn increasing attention in bioimaging, catalysis, and sensors because of their excellent properties such as high optical absorptivity, low toxicity, good water solubility, and easy preparation. [11][12][13][14] To date, many carbon nanoparticle-based chemical sensors have been developed to selectively detect metal ions including Hg 2+ in aqueous solution, 2,[15][16][17][18] and the sensitivity has been substantially improved by doping nitrogen into the carbon nanoparticles. 19,20 Carbon nanoparticles have also been developed as sensing platforms to detect other substances such as PO 4 3− , pH, DNA, thrombin, glucose, biothiol, F − , S 2− , CN − , C 2 O 4 2− , and I − .…”",Scite,,2016,The Analyst
10.1039/c7an01683b,,Scopus citing DOI,59.pdf,2018,The Analyst
10.1039/c8an00450a,,Scopus citing DOI,,2018,The Analyst
10.1039/c8an01640b,,Scopus citing DOI,,2018,The Analyst
10.1039/c9an00116f,,Scopus citing DOI,164.pdf,2019,The Analyst
10.1039/c9an02231g,"“…1,2 Copper is one of essential metal elements in the human body and intracellular Cu 2+ is important to some biological processes such as enzyme activities. 3 Both deficiency and excess of Cu 2+ in human body would result in some diseases (e.g. Wilson disease, Alzheimer disease, Parkinson disease).…”",Scite,,2020,The Analyst
10.1039/d0an00795a,,Scopus citing DOI,199.pdf,2020,The Analyst
10.1021/bm300796q,"“…To confirm the HA receptor mediated endocytosis, we assessed the competitive cellular uptake of HA–Cdot conjugates in the presence of free HA. B16F1 cells were known to have HA receptors such as CD44 and LYVE-1.  [ref]−[ref] [ref]  As shown in Figure a, the cellular uptake of HA–Cdot conjugates was drastically reduced due to the competitive binding of HA to the receptors. By contrast, the cellular uptake of Cdots after conjugation to HA was significantly reduced in HEK293 cells without HA receptors (Figure b).…”",Scite,,2012,Biomacromolecules
10.1021/bm300796q,"“…GOs and SWNTs have been exploited for in vitro and in vivo bioimaging drawing many attentions as potential biocompatible imaging agents.  [ref]−[ref] [ref] [ref]  Recently, fluorescent nanosized carbon dots (Cdots) have been also suggested for bioimaging applications.  [ref], [ref]  Cdots were found first in the purification process of SWNTs [ref]. Since then, many approaches have been performed to synthesize Cdots from top-down methods, such as arc-discharge, laser-ablation method, and electrochemical oxidation, to bottom-up methods, such as combustion, thermal decomposition, and microwave synthesis.  [ref]−[ref] [ref]  Cdots have many advantages, such as chemical inertness, lack of blinking, inherently low cytotoxicity, excellent biocompatibility, size- and excitation-wavelength (λ ex )-dependent PL, and amphiphilic characteristics depending on the surface capping materials.  [ref],−[ref] [ref] [ref] …”",Scite,,2012,Biomacromolecules
10.1039/c2cc35966a,"“…Using quinine sulfate as reference, we measured the quantum yield of the CNDs at 360 nm excitation to be 31.3%, indicating their superior PL performance to most other CNDs previously reported. 3,5,6 Furthermore, a systematic PL study with different excitation wavelengths ranging from 320 to 480 nm (Fig. 1c) revealed a typical wavelength-dependent PL behavior, most probably due to the different surface states and size dispersion of the carbon nanoparticles.…”",Scite,,2012,Chemical Communications
10.1039/c2cc35966a,"“…2 As a green substitute for semiconductor QDs, carbon nanodots (CNDs) have attracted growing interests with recent progress in both syntheses and applications. [3][4][5][6][7][8][9][10][11] Compared to semiconductor QDs, CNDs possess the advantages of excellent biocompatibility and ease with which they can be synthesized and surface functionalized. Therefore, CNDs are very promising for a wide range of potential applications, including bioimaging, 4 drug/ gene delivery, 5 sensors, 6 photocatalysts, 7 light-emitting diodes (LED), 8 and energy conversion/storage.…”",Scite,,2012,Chemical Communications
10.1002/adma.201202599,,Scopus citing DOI,73.pdf,2012,Advanced Materials
10.1021/jp307308z,,Scopus citing DOI,86.pdf,2012,The Journal of Physical Chemistry C
10.1039/c2jm32973e,,Scopus citing DOI,133.pdf,2012,Journal of Materials Chemistry
10.1007/BF03353756,"Little alteration in the cellular homeostasis of Cu2+ could cause serious neurodegenerative diseases, which may be involved in the production of reactive oxygen species. Zhu et al. [74] integrated AE-TPEA (N-(2-aminoethyl)-N,N’,N’-tris(pyridine-2yl-methyl)ethane-1,2-diamine) into a hybrid system composed of carbon and CdSe/ZnS quantum dots and developed a sensitive and selective ratiometric strategy for intracellular sensing and imaging of Cu2+.",SemSchol&FB,,2013,Nano-Micro Letters
10.1007/bf03353756,"“…Little alteration in the cellular homeostasis of Cu 2+ could cause serious neurodegenerative diseases, which may be involved in the production of reactive oxygen species. Zhu et al [74] Scheme 1 Dual-emission fluorescent sensing of Cu 2+ based on a CdSe@C-TPEA nanohybrid. shown in Table 3).…”",Scite,,2013,Nano-Micro Letters
10.1039/c3tb00018d,"“…Zhu et al developed a carbon dot-based dual emission hybrid for imaging cellular copper ions. 75 Carbon dots were functionalized with N-(2-aminoethyl)-N,N,N 0 -tris(pyridin-2ylmethyl)ethane-1,2-diamine (abbreviated as AE-TPEA) and then coated with CdSe@SiO 2 QDs. The idea was that Cu 2+ could quench the uorescence of carbon dots but not that of CdSe@SiO 2 QDs; thus the latter was used as an internal reference.…”",Scite,,2013,Journal of Materials Chemistry B
10.1039/c3tb00018d,"“…Upon the addition of Cu 2+ , the green uorescence from carbon dots was signicantly inhibited in reference to that of the QDs. 75 Liu et al used PEI-functionalized carbon dots for gene delivery and bioimaging. 76 These carbon dots were found to have positive charges on the surface, thus were polyelectrolyte-like to condense DNA.…”",Scite,,2013,Journal of Materials Chemistry B
10.1002/anie.201302958,,Scopus citing DOI,27.pdf,2013,Angewandte Chemie International Edition
10.1002/anie.201303927,,Scopus citing DOI,129.pdf,2013,Angewandte Chemie International Edition
10.1002/anie.201306688,,Scopus citing DOI,109.pdf,2013,Angewandte Chemie International Edition
10.1002/chem.201302919,,Scopus citing DOI,135.pdf,2013,Chemistry – A European Journal
10.1016/j.talanta.2013.08.055,,Scopus citing DOI,98.pdf,2013,Talanta
10.1016/j.talanta.2013.08.057,,Scopus citing DOI,115.pdf,2013,Talanta
10.1021/ac303113n,,Scopus citing DOI,,2013,Analytical Chemistry
10.1021/ac401386v,"“…Copper, a common heavy metal, is one of the essential trace elements in the human body due to its important roles in various biological processes [ref]. However, long-term exposure to excess copper ions (Cu 2+ ) is highly toxic to organisms and the human body; thereby, Cu 2+ is becoming one of the major components of the environmental pollutants, especially in drinking water.  [ref], [ref]  To date, numerous methods have been developed for the detection of Cu 2+ , including inductively coupled plasma mass spectroscopy (ICPMS) and atomic absorption/emission spectroscopy (AAS/AES), [ref] electrochemical detection, [ref] sensors based on the surface plasmon resonance[ref] and surface-enhanced Raman scattering techniques, [ref] nanomaterial-based probes such as gold and silver nanoparticles, [ref] quantum dots, [ref] and fluorescent receptors specifically designed for Cu 2+ .  −[ref] [ref]  Although each method has distinct advantages in certain situations, there are still some limitations, including tedious sample pretreatment, requiring sophisticated and expensive equipment, and excitation and emission in the UV region, etc. Therefore, it is still necessary to develop new methods that could realize rapid and real-time detection of Cu 2+ with simple instruments.…”",Scite,,2013,Analytical Chemistry
10.1021/ac403527c,,Scopus citing DOI,,2013,Analytical Chemistry
10.1021/la402647t,,Scopus citing DOI,28.pdf,2013,Langmuir
10.1039/c2nr33191h,"“…Carbonaceous dots can be classied as nanodiamonds, carbon nanodots, or graphene quantum dots (GQDs) according to their sp 2 and sp 3 hybridization composition. 4 These nanomaterials have been proved to be potential candidates for biolabeling and bioimaging in vitro or in vivo, [5][6][7][8] nanovehicles for biomolecular delivery, 9 and biosensors for probing DNA, protein and intracellular metal ions, etc., [10][11][12][13] as well as photocatalysts, electrocatalysts, or photovoltaic devices for energy conversion, [14][15][16] in that GQDs, graphene sheets with sizes about or below 100 nm, were found to possess isolated energy levels. 17 Though unclear, the photoluminescence of GQDs is considered to originate from the quantum size effect along with different emissive traps on the GQD surface.…”",Scite,,2013,Nanoscale
10.1039/c2nr33429a,,Scopus citing DOI,26.pdf,2013,Nanoscale
10.1039/c3an00948c,"“…9,10 Nanoparticles with dual emission have been designed to sensitively monitor and image Cu 2+ . 11,12 Based on a highly specic copper-catalyzed click reaction, a novel method allowing colorimetric detection of Cu 2+ without any advanced instrument has also been reported. 13 A gold nanorod based plasmonic sensor has been developed for the simultaneous detection of Cu 2+ and three other heavy metal ions.…”",Scite,,2013,The Analyst
10.1039/c3an01351k,"“…Among the carbon nanomaterials, water-soluble carbon nanodots (C-dots) have been considered as potential luminescent materials for nanoprobes, pH sensors, and cancer imaging agents in biomedicine because of their unique quantum effect, biocompatibility, and stability. [20][21][22] The superior properties and facile fabrication of C-dots make them promising materials for widespread applications. However, compared with their applications in luminescence, only a few studies have focused on electrochemical biosensors using C-dots.…”",Scite,,2013,The Analyst
10.1039/c3cc42959h,,Scopus citing DOI,134.pdf,2013,Chemical Communications
10.1039/c3nr00619k,"“…15 Tian et al reported a ratiometric uorescent nanosensor based on C-dot hybridized CdSe/ZnS quantum dots that could selectively and sensitively sense and image Cu 2+ ions intracellularly under 400 nm excitation. 16 However, these methods inevitably brought in the drawbacks of organic dyes or semiconductor quantum dots with heavy metal cores, and weakened the merits of C-dots.…”",Scite,,2013,Nanoscale
10.1039/c3tb20638f,"“…20,21 In addition, intracellular Cu 2+ ions play a critical role in physiological and pathological events, for example, the dysfunction of copper metabolism has been suggested in many diseases such as Menkes disease, Wilson disease, and some neurodegenerative diseases. [22][23][24][25] Hence, it is important to monitor intracellular Cu 2+ concentration in living cell.…”",Scite,,2013,Journal of Materials Chemistry B
10.1088/0957-4484/24/13/135602,"“…Carbon dots (CDs), a new kind of carbon-based nanomaterial, have received increasing attention recently owing to their desirable properties, which include excitation-dependent fluorescence [1], their excellent photostability [2,3] and biocompatibility [4,5], as well as low toxicity [6,7]. Such nascent nanoparticles have shown bright prospects as promising benign alternatives to toxic metal-based semiconductor quantum dots (QDs) in applications [8][9][10][11].…”",Scite,,2013,Nanotechnology
10.6023/A13080904,,Scopus citing DOI,,2013,Acta Chimica Sinica
10.1021/ac404236y,"“…They are simply obtained by combining two different fluorophores in one nanoparticle, one fluorophore as reference and another as a signal report unit.  [ref]−[ref] [ref] [ref] [ref] [ref] [ref]  Compared with the organic fluorophores, dual-emission fluorescent nanoparticles do not need elaborate molecular design and complicated synthesis. Recently, CDs-based dual-emission nanohybrid materials are prepared and used as a ratiometric fluorescent probe for Cu 2+ ; because the CDs itself do not have the ability of Cu 2+ recognition, an organic molecule specific for Cu 2+ was first immobilized on the surface of CDs, which increased the complexity of preparation [ref]…”",Scite,,2014,Analytical Chemistry
10.1021/ac404236y,"“…Recently, CDs-based dual-emission nanohybrid materials are prepared and used as a ratiometric fluorescent probe for Cu 2+ ; because the CDs itself do not have the ability of Cu 2+ recognition, an organic molecule specific for Cu 2+ was first immobilized on the surface of CDs, which increased the complexity of preparation. 39 Herein, we developed a simple method to prepare dualemission nanoparticles for ratiometric detection of Cu 2+ . The CDs with Cu 2+ recognition sites were simply prepared using N-(β-aminoethyl)-γ-aminopropyl methyldimethoxysilane (AEAPMS) as the main raw material and then covalently linked to Rhodamine B-doped silica nanoparticles through silylation reaction without any other surface functionalization.…”",Scite,,2014,Analytical Chemistry
10.1021/ac501499y,"“…11−15 Compared with other techniques, the fluorescence probes exhibit more advantages including high sensitivity and selectivity and direct monitoring in live cells, tissues, and animals. 16 . As a matter of fact, the ratiometric fluorescence measurements not only can improve the sensitivity of the detection but also can avoid interferences from background fluorescence.…”",Scite,,2014,Analytical Chemistry
10.1021/ac501499y,"“…Over the past couple of decades, considerable attention has been paid on the development of analytical methods for O 2 •– detection because the elucidation of biological functions of O 2 •– has become an important research area. Many elegant techniques have been reported such as electron spin resonance (ESR) spectroscopy, electrochemical determination, chromatography, chemluminescence, and fluorescence spectroscopy.  −[ref] [ref] [ref] [ref]  Our group is very interested in development of analytical methods for ROS determination and have established several reliable and durable electrochemical and fluorescent approaches for monitoring of O 2 •– and other ROS in live cells and animals.  [ref]−[ref] [ref] [ref] [ref]  Compared with other techniques, the fluorescence probes exhibit more advantages including high sensitivity and selectivity and direct monitoring in live cells, tissues, and animals.  [ref]−[ref] [ref] [ref]  Many elegant “turn-on” fluorescent sensors have been designed for determination of intracellular O 2 •– .  [ref]−[ref] [ref] [ref]  However, to the best of our knowledge, few papers have been reported on the development of ratiometric fluorescence sensors for determination of O 2 •– in live cells because it is still a challenging work to design and synthesize the dual-emission organic fluorophores which can be specific and sensitive to O 2 •– . As a matter of fact, the ratiometric fluorescence measurements not only can improve the sensitivity of the detection but also can avoid interferences from background fluorescence.…”",Scite,,2014,Analytical Chemistry
10.1039/c3ra47994c,"“…8 In addition to bioimaging, sensing is another common application of the carbon dots. Metal ions, such as Fe 3+ , 6,34,93,[119][120][121] Cu 2+ , 53,[115][116][122][123] Hg 2+ 86-87, 124 and 139 and Pb 2+ , 94 can be selectively detected based on CD PL quenching. Hypochlorite, 88 glutathione, 99 nitrite, 125 thrombin, 126 glucose, 92 and others can be quantitatively analyzed.…”",Scite,,2014,RSC Advances
10.1039/c3ra47994c,"“…Tian's group found that CNDs could be designed as an integrated biosensor. [114][115][116] Combining CNDs with other materials, the resulting hybrids can be used to image the cell and monitor the pH value (or Cu 2+ concentration) at the same time (Fig. 15).…”",Scite,,2014,RSC Advances
10.1002/adfm.201303352,,Scopus citing DOI,143.pdf,2014,Advanced Functional Materials
10.1002/ppsc.201400055,,Scopus citing DOI,113.pdf,2014,Particle &amp; Particle Systems Characterization
10.1002/smll.201302698,,Scopus citing DOI,136.pdf,2014,Small
10.1002/smll.201401328,,Scopus citing DOI,34.pdf,2014,Small
10.1007/11663_2014_11,,Scopus citing DOI,35.pdf,2014,Bioanalytical Reviews
10.1007/s00604-014-1203-z,,Scopus citing DOI,92.pdf,2014,Microchimica Acta
10.1007/s11426-014-5064-4,,Scopus citing DOI,29.pdf,2014,Science China Chemistry
10.1016/j.aca.2013.10.046,,Scopus citing DOI,137.pdf,2014,Analytica Chimica Acta
10.1016/j.bios.2013.07.028,"Due to their adjustable emission, more and more dualemission fluorescence nanoparticles have been designed and developed as ratiometric fluorescence probes (Zhang et al., 2011; Zong et al., 2011; Zhu et al., 2012).",SemSchol&FB,,2014,Biosensors and Bioelectronics
10.1016/j.bios.2014.05.050,"…of improved sensitivity and built-in correction for environmental effects, the development of bio/chemo sensors by ratiometric fluorescence approach has received increasing attentions in recent years (Gong et al., 2012; Haidekker et al., 2005; Yao et al., 2013; Zhu et al., 2012; Zong et al., 2011).",SemSchol&FB,,2014,Biosensors and Bioelectronics
10.1016/j.colsurfb.2014.06.002,,Scopus citing DOI,138.pdf,2014,Colloids and Surfaces B: Biointerfaces
10.1016/j.jcis.2014.02.006,,Scopus citing DOI,30.pdf,2014,Journal of Colloid and Interface Science
10.1016/j.jcis.2014.05.016,,Scopus citing DOI,91.pdf,2014,Journal of Colloid and Interface Science
10.1016/j.talanta.2014.01.046,,Scopus citing DOI,99.pdf,2014,Talanta
10.1016/j.tibtech.2014.09.004,,Scopus citing DOI,11.pdf,2014,Trends in Biotechnology
10.1016/j.trac.2014.03.007,,Scopus citing DOI,,2014,TrAC Trends in Analytical Chemistry
10.1021/ac402894z,"“…In the past few years, much effort has been contributed to the synthesis and property of CDs and their application in bioimaging, [ref] photocatalysis, [ref] and optoelectronic devices [ref]. Recently, the chemosensors with the use of fluorescent CDs for the detection of biomolecules[ref] and metal ions [ref], [ref]  have been also reported based on the quenching mechanism of CDs fluorescence. In the case of metal ions, however, many heavy metal ions can quench the fluorescence of CDs through an effective electron or energy transfer process, [ref] leading to a very bad selectivity for specific metal ions.…”",Scite,,2014,Analytical Chemistry
10.1021/ac403810g,,Scopus citing DOI,,2014,Analytical Chemistry
10.1021/ac500329k,"“…Unfortunately, neither of these methods could distinguish the oxidation state of the copper ions. Recently, a few fluorescent probes that can quantitatively estimate Cu 2+ in the cells have been reported.  [ref]−[ref] [ref] [ref]  However, there is no reliable method for the quantitative measurement of the copper ion concentration in live tissues. Therefore, tools to quantitatively estimate copper ion concentrations in living tissue would be of broad utility.…”",Scite,,2014,Analytical Chemistry
