Citing DOI,Citation ID,CC paragraph,Cited title,DOI
10.1038/srep01473,b8,"Fluorescent carbon nanoparticles (FCN) with tunable emission are considered to be next generation green nanomaterials 1 2 3 4 5 6 7 8  and are promising alternatives to fluorescent semiconductor nanocrystals, which are composed of toxic heavy metals such as cadmium 9 10 . FCNs have been demonstrated to be potential optical detection probes 8 , bioimaging probes 3 , light emitting diode materials 7  and efficient visible light-active photocatalysts 6 . The potential of FCNs in biomedical applications is enormous because the major component is the nontoxic element carbon. However, this potential is relatively unexplored compared to that of other carbon-based materials, such as fullerenes 11 , carbon nanotubes 12  and graphene 13  largely because high quality FCNs and probes of FCN have been unavailable. FCNs have been synthesised through physical methods, such as high energy radiation-based creation of point defects in diamond 14 15  and laser ablation of graphite 16 , or through chemical methods, such as oxidation of candle soot 17 18 , carbonisation of carbohydrates 19 20 21 22 23 , thermal decomposition of small molecules 24 25 26 27 28 , pyrolysis of polymers 29 , microwave-based pyrolysis 30 31 32 , P 2 O 5 -based room temperature dehydration of small molecules 33 , electrochemical methods 34 35  and chemical breakdown of carbon fiber 36 , graphene 37  or graphite 38 . However, there are four distinct limitations of the currently available FCN. ( Supplementary Table S1 ) First, most of the synthetic methods produce weakly fluorescent FCNs with a quantum yield of less than 1%. Second, no methods are currently available for the large scale synthesis of high-quality FCNs. Although some methods report milligram-scale FCNs with quantum yields of 5 to 60%, these methods require a sophisticated high energy radiation-based synthesis followed by surface functionalisation and size separation 2 . Third, although many methods report blue- and green-emitting FCNs, only a few methods report yellow- and red-emitting FCNs. In addition, yellow- and red-emitting FCNs are generally mixed with blue- and green-emitting FCNs and must be isolated through specialised size separation methods 2 17 34 38 . Fourth, although the functionalisation of nanoprobes is essential to the enhancement of the labelling specificity, such strategies are poorly developed for FCNs 3 15 18 19 25 33 36 , and in most cases, bare FCNs have been used for bioimaging and other applications 15 18 19 33 36 .",Carbon-dot-based dual-emission nanohybrid produces a ratiometric fluorescent sensor for in vivo imaging of cellular copper ions,No DOI
10.1038/srep01473,b8,"Fluorescent carbon nanoparticles (FCN) with tunable emission are considered to be next generation green nanomaterials 1 2 3 4 5 6 7 8  and are promising alternatives to fluorescent semiconductor nanocrystals, which are composed of toxic heavy metals such as cadmium 9 10 . FCNs have been demonstrated to be potential optical detection probes 8 , bioimaging probes 3 , light emitting diode materials 7  and efficient visible light-active photocatalysts 6 . The potential of FCNs in biomedical applications is enormous because the major component is the nontoxic element carbon. However, this potential is relatively unexplored compared to that of other carbon-based materials, such as fullerenes 11 , carbon nanotubes 12  and graphene 13  largely because high quality FCNs and probes of FCN have been unavailable. FCNs have been synthesised through physical methods, such as high energy radiation-based creation of point defects in diamond 14 15  and laser ablation of graphite 16 , or through chemical methods, such as oxidation of candle soot 17 18 , carbonisation of carbohydrates 19 20 21 22 23 , thermal decomposition of small molecules 24 25 26 27 28 , pyrolysis of polymers 29 , microwave-based pyrolysis 30 31 32 , P 2 O 5 -based room temperature dehydration of small molecules 33 , electrochemical methods 34 35  and chemical breakdown of carbon fiber 36 , graphene 37  or graphite 38 . However, there are four distinct limitations of the currently available FCN. ( Supplementary Table S1 ) First, most of the synthetic methods produce weakly fluorescent FCNs with a quantum yield of less than 1%. Second, no methods are currently available for the large scale synthesis of high-quality FCNs. Although some methods report milligram-scale FCNs with quantum yields of 5 to 60%, these methods require a sophisticated high energy radiation-based synthesis followed by surface functionalisation and size separation 2 . Third, although many methods report blue- and green-emitting FCNs, only a few methods report yellow- and red-emitting FCNs. In addition, yellow- and red-emitting FCNs are generally mixed with blue- and green-emitting FCNs and must be isolated through specialised size separation methods 2 17 34 38 . Fourth, although the functionalisation of nanoprobes is essential to the enhancement of the labelling specificity, such strategies are poorly developed for FCNs 3 15 18 19 25 33 36 , and in most cases, bare FCNs have been used for bioimaging and other applications 15 18 19 33 36 .",Carbon-dot-based dual-emission nanohybrid produces a ratiometric fluorescent sensor for in vivo imaging of cellular copper ions,No DOI
10.1186/s11671-017-2137-2,CR12,"Carbon dots, as a fluorescent material in the carbon nanomaterial family, have drawn increasing concerns in the past few years. Typically, a CD has a core of graphite or amorphous carbon framework, and the surface of which is coated with oxygen-containing groups, polymers and other species [ 1 ]. Meanwhile, CDs, which are not larger than 10 nm, have unique photophysical characteristics, such as high photostability, good biocompatibility, excellent optical properties and low environmental hazards [ 2 ,  3 ]. Inspired by these properties, the CDs possess various potential applications, such as drug delivery [ 4 ], fluorescent ink [ 5 ], sensors [ 6 ,  7 ], optoelectronics [ 8 ], photocatalysis [ 9 ,  10 ], and light-emitting devices [ 5 ,  11 – 13 ]. Up to now, various synthetic methods have been developed for the preparation of CDs, such as the electrochemical oxidation of graphite [ 9 ], the hydrothermal method [ 5 ,  10 ], and the microwave-assisted synthesis [ 14 ,  15 ].",Carbon-dot-based dual-emission nanohybrid produces a ratiometric fluorescent sensor for in vivo imaging of cellular copper ions,10.1002/anie.201109089
10.1186/s11671-017-2137-2,CR12,"Carbon dots, as a fluorescent material in the carbon nanomaterial family, have drawn increasing concerns in the past few years. Typically, a CD has a core of graphite or amorphous carbon framework, and the surface of which is coated with oxygen-containing groups, polymers and other species [ 1 ]. Meanwhile, CDs, which are not larger than 10 nm, have unique photophysical characteristics, such as high photostability, good biocompatibility, excellent optical properties and low environmental hazards [ 2 ,  3 ]. Inspired by these properties, the CDs possess various potential applications, such as drug delivery [ 4 ], fluorescent ink [ 5 ], sensors [ 6 ,  7 ], optoelectronics [ 8 ], photocatalysis [ 9 ,  10 ], and light-emitting devices [ 5 ,  11 – 13 ]. Up to now, various synthetic methods have been developed for the preparation of CDs, such as the electrochemical oxidation of graphite [ 9 ], the hydrothermal method [ 5 ,  10 ], and the microwave-assisted synthesis [ 14 ,  15 ].",Carbon-dot-based dual-emission nanohybrid produces a ratiometric fluorescent sensor for in vivo imaging of cellular copper ions,10.1002/anie.201109089
10.3390/molecules29051020,B46-molecules-29-01020,"MCF-7 cells were cultured for 24 h and incubated with a 13 μmol/L fluorescent probe FP for 2 h. The cells were washed with phosphate-buffered saline (PBS) three times and imaged by a fluorescence microscope. Subsequently, 10 μmol/L Cu 2+  was introduced to the medium and cultured for 1 h. After washing with PBS three times, the cells were imaged by fluorescence microscopy [ 45 , 46 , 47 ].",Carbon-Dot-Based Dual-Emission Nanohybrid Produces a Ratiometric Fluorescent Sensor for In Vivo Imaging of Cellular Copper Ions,10.1002/anie.201109089
10.1038/srep03564,b13,"Recently, carbon-based nanomaterials (CNMs) have received much attention because of their low toxicity, excellent solubility and stable photoluminescence (PL) 1 2 3 . Significant progress has been achieved on the utilization of CNMs as luminescent probes for bioimaging 4 , optoelectronic devices 5 , biosensors 6 , and photocatalysis 7 . As a new comer in CNMs family, carbon dots (C-dots) which comprise discrete quasispherical nanoparticles with sizes below 10 nm 8 , possess even more intriguing properties compared with other CNMs. Till now, a sheer variety of synthetic routes toward C-dots are available 9 10 11 , and have made C-dot emitters as potential alternatives to the aforementioned PL CNMs in various applications 12 13 14 . Unfortunately, PL quantum yield (QY) of the previously reported C-dots is usually low (<15%) 8 9 10 11  with only a few exceptions that require laborious chromatographic further purification 15  or surface passivation 16 . In addition, although different emission color of C-dots could be observed by changing the excitation wavelength 17 18 , preparation of C-dots with multi-emission colors under the same excitation wavelength remains a challenge, while this feature is crucial for multicolor patterning 19  and the related enticing applications 20 21 22 23 , such as full-color displays 20 , pixelated color structures 21  and sensor arrays 22 . Although an egg-derived C-dot with single blue-emitting color has evoked applications in these areas, simultaneous multi-color display in a single pattern was still failed even with the help of various organic dyes and toxic semiconductor quantum dots (QDs) 24 . Thus, a multicolor pattern with whole C-dots has never been achieved.",Carbon-dot-based dual-emission nanohybrid produces a ratiometric fluorescent sensor for in vivo imaging of cellular copper ions,No DOI
10.1038/srep03564,b13,"The blue, green and yellow emitting C-dots were carefully investigated with Trp-C-dot, Leu-C-dot, and Asp-C-dot as representatives.  Figure 4a-c  showed the 2D-PL topographical map of Trp-C-dot, Leu-C-dot, and Asp-C-dot, respectively. Obviously, they showed distinct excitation and emission properties. Under a wide range of excitation wavelengths used, the Trp-C-dots and Asp-C-dots just emitted blue light around 450 nm and yellow light around 560 nm, respectively, indicating that the emission of these two kinds of C-dots did not depend on the excitation wavelength. This was different from that usually observed excitation-dependent emission of C-dots prepared by other methods 9 10 11 12 13 14 . This phenomenon should be due to the Trp-C-dots and Asp-C-dots with narrow size distribution and uniform chemical features on their surfaces. The invariability of the emission wavelength is beneficial for applications in optoelectronics and bioimaging.",Carbon-dot-based dual-emission nanohybrid produces a ratiometric fluorescent sensor for in vivo imaging of cellular copper ions,No DOI
10.1038/srep03564,b13,"Firstly, among all the C-dots, the acidic amino acids derived C-dots had the largest size distribution, which could allow the existence of larger sp 2  conjugation of carbons in their cores. Both theoretical and experimental results have indicated that larger sp 2  conjugation of C atoms in another PL CNM, graphene quantum dots, can lead to emission at longer wavelength 1 . Similarly, the C-dots with larger sp 2  conjugation would emit longer wavelength showing yellow or orange color. Secondly, C-dots derived from basic amino acids had the smallest size distribution to emit at shorter wavelength, they emitted blue light. Although the size distributions of the neutral aliphatic and basic amino acids derived C-dots were similar, the former ones emitted green color. This should be due to the incorporation of higher content of N atoms in the basic amino acids-derived C-dots. As previously reported, doping of N atoms in CNMs usually induce PL blue shifted 41 . Finally, the unexpected intense blue emission of the aromatic amino acids-derived C-dots could attribute to the original sp 2  carbons in the starting materials. The original sp 2  carbons could be acted as building blocks to form C-dots with segregate small sp 2  carbon domains linked by oxygen-rich groups. This was structurally similar to the reduced-graphene oxide which also shows blue emission 54 .",Carbon-dot-based dual-emission nanohybrid produces a ratiometric fluorescent sensor for in vivo imaging of cellular copper ions,No DOI
10.3390/nano9101500,B90-nanomaterials-09-01500,"Based on the earlier observations [ 88 , 89 , 90 ], the high affinity of N–CDs by Cu 2+  might be attributed to the cupric amine complex, which could be formed by the coordination of Cu 2+  ions with active amino groups around N–CDs. PL intensity reduction might be resulted from this stable complex leading to N–CDs aggregation. To prove the aforementioned assumption, different spectroscopic measurements were carried out to study the characteristics of N–CDs in the presence of Cu (II).",Carbon-Dot-Based Dual-Emission Nanohybrid Produces a Ratiometric Fluorescent Sensor for In Vivo Imaging of Cellular Copper Ions,10.1002/anie.201109089
10.1039/c9na00794f,cit73,"In many of the C dot sensors, an organic dye is conjugated that exhibits satisfactory fluorescent behavior. Shi,  et al. 71  successfully developed a pH sensor based on dual-labeled C dots (DLCD) tethered with two fluorescent dyes, fluorescein isothiocyanate (FITC) and rhodamine B isothiocyanate (RBITC), for measuring intracellular pH. The authors additionally provide a significant observation that the molar feed ratio of FITC to RBITC is a critical factor for the pH response range of DLCD, and that a higher concentration of RBITC would decrease the sensitivity of the sensor. Kong,  et al. 72  also reported a similar pH sensor based on two-photon fluorescence of C dots, which can detect the pH change at a depth of 65–185 μm in living cells. Zhu,  et al. 73  reported the development of a nano-hybrid sensor system based on carbon dots and CdSe/ZnS quantum dots with  N -(2-aminoethyl)- N , N , N ′-tris(pyridin-2-yl-methyl)ethane-1,2-diamine (AE-TPEA) acting as a recognition molecule. This sensor successfully detected copper( ii ) ions by the quenching of fluorescence. Sha,  et al. 74  reported a similar detection of copper( ii ) ions using nitrogen-containing C dots. The authors prepared C dots using a hydrothermal method, and they exhibited strong blue luminescent emission at 450 nm when excited at 369 nm.",No title,10.1002/anie.201109089
10.3390/bios13030376,B28-biosensors-13-00376,"Carbon nanodots (CNDs), used as a “nanolight”, are emerging as an attractive fluorescent carbon material due to their strength, adjustability, photoluminescence and good optoelectronic properties [ 23 , 24 , 25 ]. Several chemical sensors have been developed to detect biomolecules [ 26 ] and metal ions [ 27 , 28 ] based on the quenching and recovery of CND fluorescence. In particular, the emission enhancement of CNDs is of great interest to the development of nanophotonics [ 29 ]. However, while plasmon-enhanced fluorescence phenomena for quantum dots (QDs) and fluorophore molecules have been well investigated, low quantum yield (<5%) for CNDs limit their application in biological studies [ 30 , 31 , 32 , 33 , 34 , 35 ]. Therefore, the important of research on CND-based MEF chemical sensors and light emission improvement is required for biological applications.",Carbon-Dot-Based Dual-Emission Nanohybrid Produces a Ratiometric Fluorescent Sensor for in Vivo Imaging of Cellular Copper Ions,10.1002/anie.201109089
10.3390/bios13030376,B28-biosensors-13-00376,"Plasmonic nanostructures have been used to develop various sensor platforms, and analytes can be immobilized on the surface of nanostructures. Signal enhancement depends on the size and shape of the nanostructures (nanoholes, nanoarrays, nano-stripes, etc.) [ 2 ]. These MEF-active substrates have been applied to develop biosensors with trace detection limits. In 2013, Gartia et al. [ 56 ] demonstrated a metal-coated nano-well array for ultrasensitive refractive index sensing fabricated by an inexpensive large-area nanoreplication technique. Mei and Tang [ 57 ] vertically aligned GNRs on a glass surface as a plasmonic substrate to detect a molecular beacon ( Figure 4 A). This dramatically enhanced the LSPR between adjacent GNRs compared to an ensemble of random GNRs. Inserting an intermediate spacer of appropriate thickness between the fluorophore and the surface of the GNR array resulted in plasmonic coupling enhancement of the fluorescence signal up to 30 nm away. Zhang et al. mass-fabricated Au nanohole arrays by nanoimprinting using a 4-inch nickel mold [ 58 ]. These Au nanohole arrays showed high fluorescence enhancement through simultaneous excitation of localized surface plasmon (LSP) and propagating surface plasmon (PSP) modes. Simultaneous excitation of LSP and PSP modes resulted in a detection limit of 140 fM for a prostate-specific antigen (PSA) biomarker. Dual mode detection offered a seven-fold better than when only LSP was resonantly excited on the same substrate. Miranda et al. developed a randomly arranged MEF-based immunosensor of AuNPs that was fabricated through a three-step process to regulate the optical properties of size, interparticle distance, and optimal gold nanostructures ( Figure 4 B). These AuNPs enhanced the fluorescence emission of three fluorescent dyes (Alexa Fluor 488, Alexa Fluor 546, and PE Cy7) approximately 150-fold on a randomly arranged MEF immunosensor to achieve a detection limit of 28.67 pM (4.3 ng/mL) for immunoglobulin detection [ 59 ]. Kang’s group arranged 300 nm gold nanodisks using electron-beam lithography and used them as sensors for the high-sensitivity detection of biomolecules [ 60 ]. They designed the analyte to be sandwiched between a capture antibody immobilized on a gold nanodisk and a detection antibody conjugated with QDs. Using this, biogenic amines (histamine (His), tyramine (Tyr), and putrescine (Put)) and thyroid hormone markers (thyroid-stimulating hormone (TSH), triiodothyronine (T3), and thyroxine (T4)) were quantified by multiple simultaneous analysis, showing aM and yM detection limits, respectively ( Figure 4 C) [ 61 , 62 ]. More recently, Lee et al. proposed a turn-on sensing format based on enhancement of the emission signal of a fluorophore molecule close to plasmonic gold nanodisks rather than the generally used turn-off format, based on competitive reactions, for small-molecule quantification [ 63 ].",Carbon-Dot-Based Dual-Emission Nanohybrid Produces a Ratiometric Fluorescent Sensor for in Vivo Imaging of Cellular Copper Ions,10.1002/anie.201109089
10.3390/nano11051265,B44-nanomaterials-11-01265,"Sensing is possibly among the most important applications of CDs, and certainly one of the most widespread [ 31 , 32 , 33 ]. Due to the excellent optical properties, the strong sensitivity of the fluorescence to the external environment [ 34 , 35 ], and the capability of CDs to behave as efficient electron donors [ 36 , 37 , 38 ], CDs are often proposed as detectors of various harmful substances, for example, heavy metals such as mercury [ 39 , 40 , 41 , 42 ], copper, and iron [ 43 , 44 , 45 , 46 ]. Therefore, a consistent effort is being made to increase the sensitivity of CDs to one or more of these analytes. However, only a few studies have tried to investigate the interactions of CDs with metal ions at a more fundamental level [ 38 , 47 , 48 , 49 ], trying for instance to discriminate static from dynamic emission-quenching mechanisms, or to disclose the interaction pathways of the ions with particular surface groups present on the dots. Besides, these interactions can be used, in reverse, as a way of probing the fluorescent groups of CDs and learning about the emission mechanisms.",Carbon-dot-based dual-emission nanohybrid produces a ratiometric fluorescent sensor for in vivo imaging of cellular copper Ions,10.1002/anie.201109089
10.3390/molecules29174211,B45-molecules-29-04211,"Fluorescence sensing based on the fluorescent CD probe has attracted widespread attention for the detection of metal ions. Thus, we assessed the synthetic CDs as a sensor for different metal ions, including K + , Ag + , Ca 2+ , Co 2+ , Na + , Zn 2+ , Hg 2+ , Pb 2+ , Mn 2+ , Ba 2+ , Sr 2+ , Fe 2+ , Cu 2+ , Al 3+ , and Fe 3+ .  Figure 6 a displays the change in the fluorescence intensity of CDs after the addition of different metal ions. Surprisingly, the addition of copper ions resulted in a sharp decline in the intensity of fluorescent CDs, while other metal ions exhibited an inappreciable effect on fluorescence intensity. This phenomenon strongly confirms that synthetic CDs can selectively identify Cu 2+  and can serve as a “turn-off” fluorescent probe for monitoring Cu 2+ . In order to eliminate the interference of other cations, we carried out an interfering experiment and investigated the most common interfering cations, including K + , Ag + , Ca 2+ , Co 2+ , Na + , Zn 2+ , Hg 2+ , Pb 2+ , Mn 2+ , Ba 2+ , Sr 2+ , Fe 2+ , Al 3+ , and Fe 3+ . This has validated that the addition of interfering cations did not induce any significant influence on the detection of Cu 2+ . Furthermore, to determine the impact of concentrations on fluorescence intensity, Cu 2+  ions ranging from 10 μM to 100 μM were added to the CDs and the fluorescence was recorded ( Figure 6 b). With the increase in the concentration of copper ions, the fluorescence intensity of CDs reduced gradually. To examine the sensitivity of CDs to the concentrations of Cu 2+ , the fluorescence quenching efficiency was probed through the Stern–Volmer of  F 0 /F  = 1 +  K SV  [ C ] plot (R 2  = 0.9965) in the concentration range of 0.1–9 μM ( Figure 6 c), where  F 0  and  F  are the intensities of fluorescent CDs before and after the addition of Cu 2+  ions, [ C ] depicts the concentration of Cu 2+ , and the quenching constant  K SV  is calculated to be 0.063, which is the slope of the fitting line. Meanwhile, the limit of detection (LOD) of Cu 2+  was measured to be 1.38 μM based on the formula mentioned in  Section 3.7 . This result is much lower than those of previous reports listed in  Table 1 , indicating that the proposed Cu 2+  probe is more sensitive. Compared with previous reports, this presented method is simple, sensitive, selective, and enables the label-free sensing of Cu 2+ . Synthetic CDs can be implemented as a highly sensitive fluorescent sensor to quantitatively monitor Cu 2+ . In terms of the Cu 2+  detection mechanism of CDs, firstly, Cu 2+  exhibits the highest absorption affinity to the carbon nanostructure compared to other transition metals. This is the prerequisite for the effective fluorescence quenching in the CDs/Cu 2+  system [ 44 ]. Secondly, it should be attributed to the electron transfer from excited CDs to the unfilled orbital of Cu 2+ , which further leads to strong non-radiative electron/hole recombination, resulting in aggregation-induced emission quenching (AIE) in CDs-Cu 2+  [ 45 ]. Thirdly, due to the excellent oxidizing properties of Cu 2+ , this makes copper ions the most adequate receptors for the transferred electron from CDs [ 46 ].",Carbon-dot-based dual-emission nanohybrid produces a ratiometric fluorescent sensor for in vivo imaging of cellular copper ions,10.1002/anie.201109089
10.1039/c8ra09729a,cit6,"Fluorescent carbon dots (CDs) have recently received considerable attention as important nanomaterials due to their unique properties, namely, higher water solubility, surface modification ability, lower toxicity, and excellent biocompatibility and photostability 1–4  when compared with traditional semiconductor quantum dots (QDs) and organic dyes. Hence, CDs have a wide variety of promising applications in bioimaging, 5–7  photocatalysis, 8,9  optoelectronic devices, 10,11  drug delivery, 12,13  and chemical sensor and biosensor technologies. 14,15  However, the photoluminescence (PL) mechanism of CDs has yet to be established, which has hindered the development and use of CDs as novel materials in applications related to various biological systems. 16  Several synthesis methods, including top-down cutting and bottom-up dehydration, have been used to fabricate high-quality CDs. 1,17  Citric acid, 18  glycerol, 19,20  amino acid, 21  ascorbic acid, 22  and other molecules with abundant hydroxyl, carboxyl, and amine groups have been identified as suitable carbon precursors. 23–27",No title,10.1002/anie.201109089
10.1039/d0ra02276d,cit66,"FTIR spectroscopy ( Fig. 6c ) was also conducted to investigate the interaction of copper with N-CDs. In comparison to the pure N-CDs, there is a large increase and red-shift of the C–N band from 1266 cm −1  to 1214 cm −1  after adding Cu 2+ . This could be assigned to the binding affinity of N to Cu 2+  that weakens the C–N bond and thus vibrates at a lower energy. 61  In addition, the increase in the peak intensity at 725 cm −1  may be ascribed to the coordinate bond formation between the hydrogen atom of the methyl groups and the copper center. In detail, the strong hydrogen bonds between water molecules and carboxylate groups and the anagostic interactions between C–H⋯Cu is clear evidence of the formation of the intramolecular complex. 62,63  Furthermore, the stretching vibrations of C O, C–O and C–O–C at 1641, 1045 and 1016 cm −1 , respectively, were significantly affected after Cu 2+  addition. This could be due to the coordinate bond formation between Cu 2+  and the active sites around N-CDs. It is believed that O atoms can donate a lone pair of electrons to the Cu 2+ , forming a coordinate covalent bond between Cu 2+  and O owing to the high oxidability of copper. 64–67  Considering the above results, the proposed Cu( ii ) adsorption by N-CDs was illustrated in  Fig. 6d , in which a N-CDs-Cu 2+  complex was formed due to the electrostatic interaction between Cu( ii ) and the –COO − , –OH and –N functional sites on the surface of N-CDs.",Carbon-Dot-Based Dual-Emission Nanohybrid Produces a Ratiometric Fluorescent Sensor for In Vivo Imaging of Cellular Copper Ions,10.1002/anie.201109089
10.1039/d2na00080f,cit114,"Tian and co-workers designed a hybrid ratiometric probe based on fluorescent CNPs with a specific receptor for Cu 2+  ions,  i.e. ,  N -(2-aminoethyl)- N , N , N ′-tris(pyridin-2-ylmethyl)ethane-1,2-diamine (AE-TPEA). 114  In particular, the hybrid system, composed of CdSe and ZnS, mixed with carbon nanoparticles showed two emission bands at 485 nm and 644 nm, using a single excitation wavelength. The functionalization of the CNPs with AE-TPEA led to blue fluorescence (485 nm), while the CdSe/ZnS CNPs showed red fluorescence (644 nm). In the presence of Cu 2+  ions, the receptor site recognized these ions, and thus quenching of the blue fluorescence was observed, while the red fluorescence of the CdSe/ZnS CNPs remained unaltered. A linear response was observed under 50 mM and the calculated limit of detection was 1 mM, with good selectivity in the presence of other metal ions and amino acids.",No title,10.1002/anie.201109089
10.1371/journal.pone.0230646,pone.0230646.ref032,"There are several laboratory-based methods being carried out for the detection of the pesticides such as high-performance liquid chromatography (HPLC), gas chromatography (GC), capillary electrophoresis (CE), and mass spectrometry [ 15 ]. Although the mentioned methods are sensitive and display accurate results, significant number of such methods are laboratory-based, time consuming, and inapplicable for point-of-care detection [ 16 ]. Therefore, a simple, sensitive, and cost-effective method  w as designed for detecting pesticides, which is based on optical property. Optical based analytical probes provide a good condition of analysis since they often involve low cost reagents, simple instruments, short response time, and effortless to perform. A wide range of fluorescent-based sensors have been designed including organic dyes, quantum dots, metal-organic frameworks, fluorescent proteins, etc. Carbon dots (CDs) which have been discovered in 2004 during separation and purification process of single walled carbon nanotubes, have considered as promising in the last decade due to their outstanding optical properties, biocompatibility, negligible toxicity, great solubility, and facile synthesis. CDs are typically semi-spherical including amorphous to nanocrystalline, naturally consist of oxygen-nitrogen-based groups, and post-modified functional groups which cause easy interaction and binding to target molecules. CDs could be derived either from natural or non-toxic precursors which are inexpensive and appropriate for large scale applications [ 17 ]. The convenience of synthesis and unique properties of CDs have led to enormous attention for employing different kinds of precursors and synthesis methods, which were mainly classified as top-down and bottom-up approaches [ 18 – 21 ]. The “top-down” approach includes techniques such as arc-discharge [ 22 ], laser ablation [ 23 ], and electrochemical exfoliation [ 24 ]. As the “bottom-up” method contains microwave treatment [ 25 ], sonochemical treatment [ 26 ], thermal decomposition [ 27 ], and thermal treatment [ 28 ]. Among the above-mentioned methods, hydrothermal treatment is one of the most prevalent bottom-up method being used to synthesize CDs form peels or juices of fruits, known as green carbon sources. Hydrothermal carbonization provides simple one-step experimental setup through high temperature and pressure which avoids the need of highly toxic chemicals. Furthermore, a cost effective and sustainable source of raw and biowaste materials should be utilized for the synthesize of CDs [ 29 ]. Additionally, efforts to synthesize fluorescence emitting CDs have been made to use in sensors [ 30 ]. Carbon dots-based sensors have enormously been used for metallic ions detection such as Hg 2+  [ 31 ], Cu 2+  [ 32 ], K +  [ 33 ], Ag +  [ 34 ], and Fe 3+  [ 35 ]. Therefore, sensors could be used for the detection of a vast number of biological agents and materials. One of CDs green precursor is cauliflower ( Brassica Oleracea ) from the  Brassicaceae  family (syn.  Cruciferae ) which contains many organic compounds such as gallic, pyrogallol, catechin, protocatechuic, chlorogenic acid, rosemary acid, rutin, caffeic acid, vanillic acid, quercetin, naringenin, syringic acid, coumaric acid, cinnamic acid, and kaempferol [ 36 ]. These particular bioactive compounds could bring the right and crucial elements to synthesize carbon dots.",Carbon-dot-based dual-emission nanohybrid produces a ratiometric fluorescent sensor for in vivo imaging of cellular copper ions,No DOI
